xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
0.024108386,0.033577063,0.999525865,4.15652314,-10.80950941,3.16486471
0.024108386,0.033577063,0.999525865,3.93620689,-11.10994066,3.18775471
0.024108386,0.033577063,0.999525865,3.68774707,-11.3926708,3.16490783
0.024108386,0.03176946,0.999525865,3.39945368,-11.38981641,3.24197636
0.028685231,0.03176946,0.999525865,3.43947884,-11.28403563,3.25913
0.030448513,0.03176946,1.002994448,3.62843684,-11.69344463,3.176103
0.030664308,0.03176946,1.007386739,3.57405713,-11.66196164,2.9185149
0.030664308,0.03176946,1.010643243,3.31366427,-11.88515552,2.96429826
0.030664308,0.032140076,1.012206746,3.19896227,-11.70449987,2.99297376
0.030664308,0.034607246,1.021901386,3.03588698,-11.84182643,2.98725182
0.028685231,0.038137147,1.021901386,3.05023768,-12.39289331,2.9355893
0.025539317,0.039905693,1.027347851,3.01316701,-12.49840214,3.10953629
0.024997529,0.040585743,1.027347851,2.83981782,-12.61207374,3.2203661
0.02196039,0.040585743,1.027347851,2.71215462,-12.89293278,3.14093122
0.019894835,0.040640238,1.021901386,2.73768978,-13.48875318,3.16646638
0.019422541,0.040640238,1.021155911,2.79164389,-14.55647662,2.95632932
0.017704724,0.040640238,1.020262419,2.86830229,-14.92557262,3.18914372
0.01764438,0.043363827,1.015195946,2.93073543,-15.47328153,3.3707674
0.015968242,0.043363827,1.015195946,2.90228533,-15.66674221,3.32524724
0.015968242,0.043363827,1.015195946,2.82843883,-15.56733346,3.36217049
