xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
0.953364651,0.027143349,0.303244662,84.24355576,-8.45112968,4.13394373
0.967738796,0.027143349,0.279253997,84.93780491,-8.34345022,4.32096595
0.968668212,0.027143349,0.267689998,84.81582466,-8.30657247,4.43443595
0.972239021,0.027143349,0.259092399,85.09382616,-8.66116622,4.4599667
0.974937034,0.027143349,0.245149839,85.469349,-8.9854814,4.38031034
0.980287327,0.027143349,0.237369904,85.696009,-9.46430065,4.52480609
0.981690209,0.027573846,0.224893942,85.99357375,-9.71935615,4.52480609
0.982913692,0.027573846,0.213483099,85.89145579,-9.81012767,4.49076677
0.983781487,0.027573846,0.210869165,85.78926979,-9.81296617,4.54753677
0.984899995,0.027891933,0.20841466,85.87436809,-10.1618692,4.5276805
0.985465325,0.027896431,0.201176796,85.8828712,-10.05416314,4.4993368
0.984899995,0.028336018,0.199566877,85.8261922,-10.23836989,4.5843553
0.985465325,0.029328258,0.197674223,85.9397126,-10.32351019,4.62976346
0.987675678,0.029658696,0.195257038,86.04744792,-10.48794831,4.68363112
0.987675678,0.030814086,0.194599326,85.95962368,-10.71175847,4.70629544
0.988464797,0.031836811,0.193463734,86.08437292,-11.03497241,4.76016443
0.988464797,0.033128452,0.19210864,86.17800415,-11.16832598,4.73179133
0.989453523,0.034224271,0.191191283,86.09008877,-11.2931091,4.77716701
0.989453523,0.036638563,0.19210864,86.24328083,-11.50303896,4.84525237
0.990021804,0.037891938,0.19210864,86.19218783,-11.44343046,4.87931437
0.990757083,0.037891938,0.191413925,86.03885591,-11.3809619,4.84240113
0.990757083,0.038294858,0.191191283,86.1781242,-11.51170356,4.82250566
0.989550502,0.038448763,0.191191283,86.2461978,-11.66770556,4.79414166
0.989453523,0.038678738,0.191191283,86.26322964,-11.98847188,4.8395599
0.989453523,0.039105146,0.191191283,86.20644004,-12.113409,4.91622586
0.989453523,0.039373715,0.191413925,86.00783814,-11.98006201,5.00985247
0.988661503,0.040775243,0.191413925,85.67891318,-12.12467557,5.00985247
0.988661503,0.040801829,0.191413925,84.84953974,-12.17864165,5.15470879
0.988327101,0.040775243,0.191413925,83.54772853,-11.88935027,5.30219067
0.987928357,0.040872392,0.191594534,82.10970922,-11.61422626,5.44400717
0.987445436,0.040955319,0.192587733,80.18663002,-11.23698506,5.66240997
0.986283262,0.041323887,0.196576272,78.08222898,-11.06114562,5.78719925
0.984328214,0.042557532,0.208030563,75.97093504,-10.9787398,5.65932815
0.976897729,0.044072141,0.220759138,73.58256836,-10.71210504,5.57139541
0.963591797,0.048774977,0.249380283,70.83071716,-10.25251752,5.32457989
0.954383437,0.048774977,0.26879777,67.93527874,-10.34601015,5.10926353
0.950927662,0.048774977,0.299675462,64.75635754,-10.56210855,4.97278033
0.948059078,0.048774977,0.334891677,61.26095766,-10.40309767,4.64340065
0.936689847,0.048774977,0.369587806,58.67948856,-11.02503577,4.47300665
0.916985108,0.047906586,0.408656684,54.8378656,-10.84061517,4.55812385
0.894231065,0.044457552,0.45034921,51.19723763,-10.57388171,4.56096144
0.882530639,0.038581731,0.498300726,48.17708455,-10.59945215,4.5069794
0.857747183,0.034568239,0.541614036,43.67505121,-10.17960279,4.27719698
0.81642751,0.033428943,0.581168421,40.92673081,-10.42043499,3.69069974
0.789195706,0.03155442,0.629789053,37.99099801,-10.64473179,3.27049814
0.750311024,0.028595052,0.676041432,34.44016051,-10.29248871,2.90973305
0.704141814,0.028353366,0.720189659,31.82160576,-10.79638357,2.3860221
0.666777888,0.025949259,0.759464195,28.91849408,-10.38246335,2.05715398
0.617031533,0.024379431,0.801475317,26.01922001,-10.43631106,1.91828357
0.57049412,0.017423955,0.82775559,22.69988161,-10.39099586,1.74835157
0.524808472,0.016212773,0.867142954,19.91004897,-10.51587138,1.37940117
0.477486683,0.011777264,0.896436173,16.18803767,-10.64656796,0.870821
0.42898801,0.009762385,0.902592904,12.87810181,-10.65508409,0.3314661
0.387493606,0.007323975,0.940934942,9.90910403,-10.51032416,-0.4065257
0.339172964,0.004723958,0.961207365,6.65228893,-9.9784251,-0.78198386
0.280412578,0.003417431,0.964782019,3.88112263,-9.76980921,-1.17119261
0.225050747,0.000625155,0.985861211,2.59998046,-10.05671688,-1.45525961
0.169190448,0.000391259,0.995678327,2.3220064,-10.58997324,-1.7020325
0.115568669,-1.53E-05,1.003715796,2.12894556,-10.58429498,-1.40108472
0.056653201,-0.006255584,1.009323779,2.24543025,-10.72634948,-1.27039458
0.006273521,-0.01041212,1.009611878,2.8210063,-11.18284083,-1.22786433
-0.030883888,-0.01041212,1.010060276,3.1475948,-11.21975953,-1.23354413
-0.050250333,-0.01041212,1.013247127,3.33224745,-11.16578414,-1.12843416
-0.059554145,-0.01041212,1.013269468,3.32088449,-11.04363232,-1.0744601
-0.059644487,-0.01041212,1.015272966,3.43162148,-11.06350819,-0.88421963
-0.059644487,-0.01041212,1.015272966,3.63341342,-11.14024597,-0.86432465
-0.059644487,-0.008918486,1.015272966,3.75845218,-11.40453244,-0.81601422
-0.059644487,-0.008871455,1.015913809,4.1049029,-11.75950244,-0.75637926
-0.059554145,-0.007567673,1.015913809,4.3663025,-11.81348714,-0.80184006
-0.058332292,-0.006500683,1.017296081,4.26409886,-12.22514069,-1.18226472
-0.054031375,-0.006500683,1.017955248,4.04860162,-12.0521758,-1.32120373
-0.054031375,-0.00624281,1.015913809,5.8181221,-13.37648039,-0.51300928
-0.054031375,-0.003076604,1.014437131,6.19817156,-13.60621178,-0.26909694
-0.053006175,0.011622838,1.014197886,6.49380508,-13.59199863,-0.08716862
-0.052231625,0.013220103,1.013944567,6.4597498,-13.75659915,-0.09852038
-0.050919343,0.01385311,1.012166723,6.33492664,-13.84170585,-0.06731459
-0.048836146,0.014792517,1.006484034,6.26962987,-13.83034989,0.01785511
-0.048102905,0.016520862,1.006484034,6.19861662,-13.95817374,0.16272214
-0.044616213,0.017388666,1.006484034,6.03390242,-13.93545454,0.35583534
-0.043941688,0.020252968,1.002873639,6.06804674,-14.10048542,0.37006214
-0.040774157,0.020252968,1.006484034,6.14762666,-14.64901844,0.42122066
-0.040349278,0.020252968,1.008130584,6.15899326,-14.86498384,0.42406231
-0.039825567,0.020252968,1.00835675,6.10208466,-15.06131851,0.35577199
-0.039825567,0.020252968,1.009890732,5.9259284,-15.23463354,0.5461344
-0.039825567,0.020252968,1.009890732,6.02270396,-15.57050166,0.54898074
-0.040349278,0.020252968,1.01015165,6.09371546,-15.84318582,0.42968142
-0.040349278,0.020252968,1.01015165,6.05966858,-15.7921155,0.38996006
-0.040630738,0.020252968,1.011191554,5.9802043,-15.70981321,0.36441797
-0.04156094,0.022668807,1.01171659,5.86954921,-15.56794771,0.39562838
-0.041740346,0.026972484,1.013381279,5.80707141,-15.57078761,0.33883038
-0.042237404,0.027017091,1.013381279,5.71047673,-15.57362863,0.30189712
-0.042504564,0.027141454,1.013381279,5.72469373,-15.42292843,0.27346312
-0.042727243,0.031402522,1.013381279,5.80994743,-15.66163879,0.37292577
-0.042727243,0.031402522,1.013381279,5.74746501,-15.62755747,0.38428621
-0.042727243,0.031402522,1.013381279,5.62530416,-15.38323577,0.31894436
-0.042237404,0.031402522,1.011345851,5.65088972,-15.48273517,0.14553112
-0.042360651,0.031402522,1.011345851,5.61674624,-15.60792793,0.06301771
-0.042360651,0.030811,1.011345851,5.55981664,-15.81287449,0.01747403
-0.042962906,0.030811,1.011345851,5.55128161,-15.74459425,0.00324898
-0.042962906,0.030811,1.011939312,5.43445252,-15.71324986,0.1400245
-0.043667591,0.030811,1.014159435,5.41680328,-15.69854216,0.17826452
-0.043667591,0.028394667,1.014545987,5.3762205,-15.86667082,0.17536575
-0.047570376,0.028394667,1.014545987,5.32286622,-15.99865246,0.18940635
-0.047770154,0.028394667,1.014545987,5.24435842,-16.21454891,0.25109105
-0.049233425,0.030811,1.014545987,5.19087513,-16.30744094,0.31020416
-0.049255255,0.031383112,1.014545987,5.21940993,-16.5414263,0.50138732
-0.049268353,0.031462828,1.014159435,5.22226621,-16.8270543,0.47282452
-0.049268353,0.031383112,1.013507215,5.28799929,-16.96137842,0.48997228
-0.049268353,0.031383112,1.012300486,5.25097685,-16.84176746,0.4444062
-0.049740273,0.031462828,1.012168329,5.19416485,-16.92130426,0.424522
