xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
0.00886585,0.539415002,0.843912052,3.72429617,-54.11246246,-1.88865999
0.01781231,0.604737001,0.817300831,3.78676627,-56.70497161,-1.59618634
0.019178586,0.641783001,0.785230099,3.69599475,-59.51605212,-1.55931041
0.027123152,0.6865562,0.757496459,3.71864171,-62.58188433,-1.36681125
0.031304291,0.72239932,0.727387476,3.96231325,-66.40412744,-1.06647191
0.031304291,0.739513192,0.685605285,3.91130215,-69.42511814,-1.07497376
0.031304291,0.777890315,0.651947171,3.8234497,-71.95016759,-1.02396266
0.031304291,0.812726189,0.611646703,3.89989264,-74.41616021,-1.02396266
0.032269866,0.830309314,0.547645622,3.80916592,-75.62112446,-1.177064
0.033910575,0.852278388,0.505926573,3.86865094,-77.33485956,-1.2337164
0.032269866,0.880295033,0.473184744,3.9593687,-78.12580503,-1.41798685
0.032269866,0.90598662,0.433824446,3.98487929,-78.67286546,-1.39814528
0.032269866,0.915155172,0.400936268,4.00188551,-79.31910182,-1.33862351
0.030359109,0.937638703,0.371345761,3.98772486,-79.48053323,-1.5170477
0.032269866,0.938785453,0.345685856,3.87431926,-79.76404723,-1.4745206
0.0325502,0.944394422,0.328337914,3.89981284,-80.18894023,-1.5878254
0.033424312,0.950793163,0.313049148,3.98197709,-80.71309148,-1.4178304
0.035055667,0.957575272,0.301143089,4.03300835,-81.25175478,-1.56241897
0.035055667,0.961168698,0.292242653,4.03584706,-81.89898066,-1.61919317
0.035534832,0.967198819,0.285145592,3.96766258,-82.28535938,-1.64192133
0.037424899,0.967498491,0.281570555,3.94781268,-82.70220728,-1.62774283
0.037915387,0.972753495,0.276204733,3.91095859,-82.88931266,-1.51718056
0.037915387,0.976687297,0.26634844,3.86562771,-83.25762606,-1.2990257
0.037915387,0.978266778,0.261313064,3.83731201,-83.46716224,-1.26787843
0.037871276,0.979038936,0.255656638,3.85429261,-83.98790064,-1.23957743
0.037871276,0.979038936,0.251091583,3.89399633,-84.24030286,-1.18852979
0.03894934,0.979038936,0.24659575,3.83710313,-84.70398244,-1.20559775
0.039083204,0.979189762,0.24067745,3.99595329,-85.33654647,-1.32189876
0.039846722,0.982435267,0.23829767,4.09523709,-85.82161875,-1.44671268
0.040517028,0.98366756,0.231209002,4.15768101,-86.45457303,-1.3956222
0.040517028,0.984478276,0.228322201,4.18890913,-86.88041103,-1.33032704
0.041195017,0.986547859,0.222393321,4.25697601,-87.26045111,-1.47496916
0.041195017,0.987644034,0.214248792,4.30238081,-88.18273611,-1.27348536
0.041195017,0.986547859,0.208971675,4.29103885,-88.56269177,-1.2904983
0.043745228,0.987644034,0.201023005,4.3052443,-88.83259532,-1.25356413
0.044285407,0.988249389,0.194009003,4.30808532,-89.2559073,-1.20526679
0.044285407,0.988699766,0.190679002,4.29957465,-89.40909936,-1.32725306
0.044285407,0.990244652,0.186045801,4.22578275,-89.64182766,-1.26765191
0.043745228,0.991210316,0.176433881,4.25701087,-89.85190774,-1.29036327
0.044285407,0.993289035,0.169397928,4.19742883,-90.00795594,-1.34710807
0.044285407,0.995547821,0.164102757,4.17189493,-90.15548514,-1.38115327
0.044701648,0.996346569,0.161706454,4.20311997,-89.95678034,-1.38966919
0.044747953,0.996623136,0.159585473,4.12936083,-89.76670871,-1.21945579
0.046091244,0.997382341,0.159585473,4.0641027,-89.26166753,-1.38118246
0.048668623,0.996623136,0.159585473,3.98172733,-87.99479115,-1.48060101
0.049882372,0.996623136,0.159585473,3.76329219,-86.28986233,-1.54301105
0.050333824,0.996623136,0.159585473,3.07644295,-83.18201143,-1.80696551
0.050793895,0.996346569,0.161207984,2.70182563,-77.78979243,-0.45891076
0.051759977,0.995741483,0.17304799,2.21638228,-73.08297913,0.50345939
0.051759977,0.992515574,0.184934394,2.08876633,-66.54620658,1.70021341
0.051759977,0.98481929,0.214026237,3.66121777,-57.50886834,3.79208473
0.050793895,0.972538144,0.274522942,5.27230144,-50.82103068,4.17432778
0.050793895,0.966310087,0.324972965,5.95930314,-44.84241258,4.60299413
0.024153567,0.928022852,0.411362979,6.24881586,-39.71917278,4.81303277
0.018293243,0.885530511,0.486328187,6.61425093,-34.149829,4.59207203
0.018293243,0.833585507,0.567809712,7.00878297,-29.41260616,4.78508051
0.018293243,0.755277704,0.643441027,6.74490663,-26.37377218,4.40770897
0.018293243,0.672083422,0.748258216,5.77365411,-24.70593622,4.68237805
0.024153567,0.612309253,0.79250693,4.83808101,-23.19484391,4.84397704
0.024153567,0.531548752,0.846969758,3.97061385,-21.13390069,4.93469256
0.024153567,0.455666851,0.886967455,3.20236679,-19.22320505,4.78161012
0.024153567,0.401060911,0.931266873,3.15979034,-16.2286614,4.40409893
